date,value
2020-11-21,30
2020-11-22,28
2020-11-23,28
2020-11-24,28
2020-11-25,29
2020-11-26,32
2020-11-27,34
2020-11-28,31
2020-11-29,30
2020-11-30,30
2020-12-01,34
2020-12-02,45
2020-12-03,34
2020-12-04,30
2020-12-05,33
2020-12-06,27
